Variable,Return on Investment,Account Type
Campaign_Flyer,$4.1,Medium Facility
Sales_Contact_2,$3.6,Medium Facility
Sales_Contact_1,$3.1,Medium Facility
Sales_Contact_3,$2.1,Medium Facility
Sales_Contact_1,$11.7,Large Facility 
Sales_Contact_4,$10.6,Large Facility 
Sales_Contact_2,$4.0,Large Facility 
Campaign_Flyer,$2.7,Large Facility 
Sales_Contact_3,$2.0,Large Facility 
Campaign_Phone,$-3.5,Large Facility 
Sales_Contact_2,$0.8,Small Facility 
Campaign_Phone,$-0.0,Small Facility 
Sales_Contact_2,$6.6,Private Facility
